#  [JENDL-5    300 K], B-10, MT = 107 (n,<alpha>)
#    energy (eV)  cross sec. (b)
    1.000000e-05    1.930038e+05
    1.103037e-05    1.837684e+05
    1.216691e-05    1.749750e+05
    1.342055e-05    1.666023e+05
    1.480336e-05    1.586302e+05
    1.632865e-05    1.510396e+05
    1.801111e-05    1.438122e+05
    1.986691e-05    1.369307e+05
    2.191394e-05    1.303784e+05
    2.417189e-05    1.241397e+05
    2.666248e-05    1.181995e+05
    2.940971e-05    1.125435e+05
    3.243999e-05    1.071582e+05
    3.578251e-05    1.020306e+05
    3.946943e-05    9.714837e+04
    4.353624e-05    9.249973e+04
    4.802208e-05    8.807354e+04
    5.297013e-05    8.385914e+04
    5.842801e-05    7.984640e+04
    6.444825e-05    7.602568e+04
    7.108881e-05    7.238778e+04
    7.841358e-05    6.892396e+04
    8.649308e-05    6.562589e+04
    9.540506e-05    6.248563e+04
    1.052353e-04    5.949564e+04
    1.160784e-04    5.664872e+04
    1.280388e-04    5.393802e+04
    1.412315e-04    5.135704e+04
    1.557836e-04    4.889956e+04
    1.718351e-04    4.655967e+04
    1.895404e-04    4.433175e+04
    2.090701e-04    4.221043e+04
    2.306120e-04    4.019062e+04
    2.543736e-04    3.826746e+04
    2.805835e-04    3.643633e+04
    3.094939e-04    3.469282e+04
    3.413832e-04    3.303273e+04
    3.765583e-04    3.145208e+04
    4.153577e-04    2.994707e+04
    4.581549e-04    2.851407e+04
    5.053618e-04    2.714965e+04
    5.574328e-04    2.585051e+04
    6.148689e-04    2.461354e+04
    6.782232e-04    2.343575e+04
    7.481052e-04    2.231433e+04
    8.251877e-04    2.124656e+04
    9.102125e-04    2.022989e+04
    1.003998e-03    1.926187e+04
    1.107447e-03    1.834017e+04
    1.221555e-03    1.746257e+04
    1.347420e-03    1.662697e+04
    1.486254e-03    1.583135e+04
    1.639393e-03    1.507380e+04
    1.808311e-03    1.435250e+04
    1.994634e-03    1.366571e+04
    2.200155e-03    1.301179e+04
    2.426853e-03    1.238916e+04
    2.676908e-03    1.179632e+04
    2.952729e-03    1.123185e+04
    3.256969e-03    1.069439e+04
    3.592557e-03    1.018265e+04
    3.962723e-03    9.695393e+03
    4.371030e-03    9.231454e+03
    4.821407e-03    8.789715e+03
    5.318191e-03    8.369113e+03
    5.866161e-03    7.968637e+03
    6.470592e-03    7.587324e+03
    7.137302e-03    7.224258e+03
    7.872708e-03    6.878564e+03
    8.683888e-03    6.549412e+03
    9.578649e-03    6.236010e+03
    1.056560e-02    5.937604e+03
    1.165425e-02    5.653477e+03
    1.285507e-02    5.382946e+03
    1.417962e-02    5.125359e+03
    1.564064e-02    4.880097e+03
    1.725221e-02    4.646570e+03
    1.902982e-02    4.424217e+03
    2.099059e-02    4.212502e+03
    2.315340e-02    4.010917e+03
    2.524188e-02    3.841393e+03
    2.530000e-02    3.836978e+03
    2.790683e-02    3.653360e+03
    3.078227e-02    3.478527e+03
    3.395398e-02    3.312058e+03
    3.745250e-02    3.153555e+03
    4.131149e-02    3.002637e+03
    4.556810e-02    2.858941e+03
    5.026329e-02    2.722123e+03
    5.544227e-02    2.591855e+03
    6.115487e-02    2.467829e+03
    6.745608e-02    2.349750e+03
    7.440655e-02    2.237341e+03
    8.207318e-02    2.130335e+03
    9.052975e-02    2.028473e+03
    9.985766e-02    1.931496e+03
    1.101467e-01    1.839147e+03
    1.214959e-01    1.751176e+03
    1.340144e-01    1.667353e+03
    1.478229e-01    1.587478e+03
    1.630541e-01    1.511382e+03
    1.798547e-01    1.438924e+03
    1.983864e-01    1.369949e+03
    2.188275e-01    1.304303e+03
    2.413748e-01    1.241815e+03
    2.662453e-01    1.182321e+03
    2.936784e-01    1.125657e+03
    3.239382e-01    1.071668e+03
    3.573158e-01    1.020257e+03
    3.941325e-01    9.713463e+02
    4.347427e-01    9.248149e+02
    4.795372e-01    8.805090e+02
    5.289473e-01    8.383246e+02
    5.834484e-01    7.981757e+02
    6.435652e-01    7.598803e+02
    7.098762e-01    7.233997e+02
    7.830196e-01    6.887234e+02
    8.636996e-01    6.557380e+02
    9.526926e-01    6.243364e+02
    1.050855e+00    5.943948e+02
    1.159132e+00    5.659665e+02
    1.287585e+00    5.369065e+02
    1.420253e+00    5.111107e+02
    1.566592e+00    4.866251e+02
    1.728009e+00    4.633069e+02
    1.906058e+00    4.411544e+02
    2.102452e+00    4.199493e+02
    2.335327e+00    3.985036e+02
    2.594122e+00    3.780280e+02
    2.861413e+00    3.598664e+02
    3.156244e+00    3.426324e+02
    3.481454e+00    3.262035e+02
    3.840172e+00    3.106393e+02
    4.206181e+00    2.967011e+02
    4.672301e+00    2.815575e+02
    5.226431e+00    2.661521e+02
    5.724565e+00    2.542742e+02
    6.314406e+00    2.421003e+02
    6.965023e+00    2.304882e+02
    7.682678e+00    2.195145e+02
    8.415331e+00    2.096212e+02
    9.479317e+00    1.975329e+02
    1.060355e+01    1.867187e+02
    1.161475e+01    1.784189e+02
    1.272176e+01    1.704724e+02
    1.393496e+01    1.628611e+02
    1.515694e+01    1.562053e+02
    1.660156e+01    1.491491e+02
    1.857048e+01    1.410483e+02
    2.091945e+01    1.328541e+02
    2.307493e+01    1.265061e+02
    2.527421e+01    1.208748e+02
    2.749055e+01    1.158837e+02
    2.969325e+01    1.115136e+02
    3.298217e+01    1.057557e+02
    3.612749e+01    1.011043e+02
    3.874889e+01    9.760044e+01
    4.274146e+01    9.288780e+01
    4.648953e+01    8.908121e+01
    5.056627e+01    8.540666e+01
    5.500050e+01    8.187971e+01
    5.940454e+01    7.879836e+01
    6.552540e+01    7.498658e+01
    7.177418e+01    7.168306e+01
    7.644286e+01    6.944618e+01
    8.431930e+01    6.609609e+01
    9.171339e+01    6.338679e+01
    9.906198e+01    6.098191e+01
    1.069941e+02    5.865447e+01
    1.155671e+02    5.642079e+01
    1.283677e+02    5.348674e+01
    1.386533e+02    5.147683e+01
    1.497556e+02    4.949158e+01
    1.663512e+02    4.692395e+01
    1.809388e+02    4.498583e+01
    1.954270e+02    4.326365e+01
    2.125643e+02    4.146202e+01
    2.312044e+02    3.974691e+01
    2.568260e+02    3.767881e+01
    2.754612e+02    3.638910e+01
    2.996169e+02    3.486461e+01
    3.328035e+02    3.305647e+01
    3.594695e+02    3.180001e+01
    3.909920e+02    3.047718e+01
    4.252787e+02    2.920800e+01
    4.593319e+02    2.809427e+01
    5.102341e+02    2.663564e+01
    5.472565e+02    2.572261e+01
    5.994158e+02    2.456107e+01
    6.658418e+02    2.328664e+01
    7.191575e+02    2.240207e+01
    7.767805e+02    2.154435e+01
    8.568176e+02    2.050126e+01
    9.384813e+02    1.958252e+01
    1.020778e+03    1.876669e+01
    1.110292e+03    1.797502e+01
    1.199255e+03    1.728314e+01
    1.313556e+03    1.649398e+01
    1.428744e+03    1.580230e+01
    1.553508e+03    1.513895e+01
    1.713577e+03    1.439871e+01
    1.861627e+03    1.380054e+01
    2.039159e+03    1.317405e+01
    2.217977e+03    1.261834e+01
    2.395576e+03    1.213284e+01
    2.624028e+03    1.157860e+01
    2.854133e+03    1.109304e+01
    3.104417e+03    1.062556e+01
    3.424286e+03    1.010606e+01
    3.724568e+03    9.680564e+00
    4.056433e+03    9.267143e+00
    4.443272e+03    8.845593e+00
    4.805637e+03    8.499632e+00
    5.249427e+03    8.122320e+00
    5.685561e+03    7.797901e+00
    6.227760e+03    7.443702e+00
    6.821331e+03    7.104087e+00
    7.471842e+03    6.781596e+00
    8.127060e+03    6.496534e+00
    8.964448e+03    6.178364e+00
    9.818854e+03    5.897078e+00
    1.078611e+04    5.611546e+00
    1.131257e+04    5.478695e+00
    1.204901e+04    5.308528e+00
    1.366358e+04    5.029528e+00
    1.553505e+04    4.750071e+00
    1.736145e+04    4.497227e+00
    1.953989e+04    4.225743e+00
    2.200000e+04    3.959307e+00
    2.443799e+04    3.732054e+00
    2.636681e+04    3.572830e+00
    2.839503e+04    3.425698e+00
    3.021162e+04    3.310071e+00
    3.245146e+04    3.192350e+00
    3.447968e+04    3.103333e+00
    3.724238e+04    3.003496e+00
    4.085047e+04    2.884971e+00
    4.493552e+04    2.766538e+00
    4.902057e+04    2.662755e+00
    5.310561e+04    2.572049e+00
    5.679006e+04    2.500374e+00
    6.287471e+04    2.399153e+00
    6.895936e+04    2.315451e+00
    7.761590e+04    2.215907e+00
    9.667105e+04    2.021938e+00
    9.800000e+04    2.009172e+00
    1.000000e+05    1.964168e+00
    1.123388e+05    1.861079e+00
    1.216930e+05    1.791986e+00
    1.336940e+05    1.715177e+00
    1.460094e+05    1.645145e+00
    1.825036e+05    1.462358e+00
    2.160251e+05    1.310840e+00
    2.231038e+05    1.280185e+00
    2.416930e+05    1.207195e+00
