#  [JENDL-5    300 K], Ra-226, MT =  16 (n,2n)
#    energy (eV)  cross sec. (b)
    6.421800e+06    0.000000e+00
    8.000000e+06    2.187300e+00
    9.000000e+06    2.488200e+00
    1.000000e+07    2.529700e+00
    1.100000e+07    2.507100e+00
    1.200000e+07    2.380100e+00
    1.300000e+07    1.575500e+00
    1.350000e+07    1.121800e+00
    1.400000e+07    7.557100e-01
    1.500000e+07    3.089700e-01
    1.600000e+07    1.172200e-01
    1.800000e+07    1.533700e-02
    2.000000e+07    1.905300e-03
