#  [JENDL-5    300 K], Ra-226, MT =  16 (n,2n)
#    energy (eV)  cross sec. (b)
    6.421800e+06    0.000000e+00
    8.000000e+06    2.187300e+00
    9.000000e+06    2.488200e+00
    1.000000e+07    2.529700e+00
    1.100000e+07    2.507100e+00
    1.200000e+07    2.380100e+00
    1.300000e+07    1.575500e+00
    1.350000e+07    1.121800e+00
    1.400000e+07    7.557100e-01
    1.500000e+07    3.089700e-01
    1.600000e+07    1.172200e-01
    1.800000e+07    1.533700e-02
    2.000000e+07    1.905300e-03


#  [JENDL-5    300 K], Ra-226, MT = 102 (n,<gamma>)
#    energy (eV)  cross sec. (b)
    1.000000e-05    5.846876e+02
    1.103037e-05    5.567119e+02
    1.216691e-05    5.300750e+02
    1.342055e-05    5.047127e+02
    1.480336e-05    4.805642e+02
    1.632865e-05    4.575714e+02
    1.801111e-05    4.356789e+02
    1.986691e-05    4.148341e+02
    2.191394e-05    3.949869e+02
    2.417189e-05    3.760896e+02
    2.666248e-05    3.580966e+02
    2.940971e-05    3.409649e+02
    3.243999e-05    3.246530e+02
    3.578251e-05    3.091219e+02
    3.946943e-05    2.943341e+02
    4.353624e-05    2.802542e+02
    4.802208e-05    2.668482e+02
    5.297013e-05    2.540839e+02
    5.842801e-05    2.419306e+02
    6.444825e-05    2.303591e+02
    7.108881e-05    2.193416e+02
    7.841358e-05    2.088516e+02
    8.649308e-05    1.988637e+02
    9.540506e-05    1.893542e+02
    1.052353e-04    1.802999e+02
    1.160784e-04    1.716793e+02
    1.280388e-04    1.634715e+02
    1.412315e-04    1.556568e+02
    1.557836e-04    1.482164e+02
    1.718351e-04    1.411325e+02
    1.895404e-04    1.343879e+02
    2.090701e-04    1.279666e+02
    2.306120e-04    1.218529e+02
    2.543736e-04    1.160323e+02
    2.805835e-04    1.104907e+02
    3.094939e-04    1.052149e+02
    3.413832e-04    1.001920e+02
    3.765583e-04    9.541010e+01
    4.153577e-04    9.085764e+01
    4.581549e-04    8.652367e+01
    5.053618e-04    8.239777e+01
    5.574328e-04    7.847003e+01
    6.148689e-04    7.473100e+01
    6.782232e-04    7.117168e+01
    7.481052e-04    6.778352e+01
    8.251877e-04    6.455837e+01
    9.102125e-04    6.148848e+01
    1.003998e-03    5.856647e+01
    1.107447e-03    5.578531e+01
    1.221555e-03    5.313831e+01
    1.347420e-03    5.061911e+01
    1.486254e-03    4.822166e+01
    1.639393e-03    4.594020e+01
    1.808311e-03    4.376924e+01
    1.994634e-03    4.170356e+01
    2.200155e-03    3.973822e+01
    2.426853e-03    3.786850e+01
    2.676908e-03    3.608992e+01
    2.952729e-03    3.439825e+01
    3.256969e-03    3.278945e+01
    3.592557e-03    3.125968e+01
    3.962723e-03    2.980527e+01
    4.371030e-03    2.842269e+01
    4.821407e-03    2.710852e+01
    5.318191e-03    2.585954e+01
    5.866161e-03    2.467270e+01
    6.470592e-03    2.354521e+01
    7.187649e-03    2.239979e+01
    7.983778e-03    2.131703e+01
    8.868523e-03    2.029286e+01
    9.850830e-03    1.932554e+01
    1.094248e-02    1.841159e+01
    1.215450e-02    1.754939e+01
    1.350144e-02    1.673588e+01
    1.499691e-02    1.596967e+01
    1.665883e-02    1.524806e+01
    1.850402e-02    1.456990e+01
    2.055460e-02    1.393286e+01
    2.283129e-02    1.333599e+01
    2.524188e-02    1.280171e+01
    2.530000e-02    1.278987e+01
    2.810369e-02    1.226791e+01
    3.121655e-02    1.178249e+01
    3.467590e-02    1.133229e+01
    3.878843e-02    1.089059e+01
    4.338869e-02    1.048804e+01
    4.853453e-02    1.012452e+01
    5.429067e-02    9.800309e+00
    6.072948e-02    9.516234e+00
    6.793193e-02    9.273718e+00
    7.598857e-02    9.074750e+00
    8.500073e-02    8.923006e+00
    9.508171e-02    8.823048e+00
    1.063583e-01    8.781331e+00
    1.080207e-01    8.780685e+00
    1.203310e-01    8.815272e+00
    1.336593e-01    8.922715e+00
    1.474311e-01    9.103662e+00
    1.614908e-01    9.358519e+00
    1.756522e-01    9.686488e+00
    1.897171e-01    1.008857e+01
    2.034829e-01    1.055881e+01
    2.167294e-01    1.109074e+01
    2.292214e-01    1.167506e+01
    2.407351e-01    1.229332e+01
    2.528396e-01    1.303742e+01
    2.636926e-01    1.379819e+01
    2.730852e-01    1.454063e+01
    2.828261e-01    1.540451e+01
    2.929001e-01    1.641223e+01
    3.012230e-01    1.734590e+01
    3.097824e-01    1.841740e+01
    3.185850e-01    1.965614e+01
    3.253587e-01    2.071720e+01
    3.322601e-01    2.190812e+01
    3.393246e-01    2.325855e+01
    3.465222e-01    2.479196e+01
    3.538899e-01    2.655202e+01
    3.588827e-01    2.787003e+01
    3.639459e-01    2.932396e+01
    3.690805e-01    3.093394e+01
    3.742875e-01    3.272400e+01
    3.795681e-01    3.472288e+01
    3.849231e-01    3.696522e+01
    3.903537e-01    3.949329e+01
    3.944744e-01    4.160651e+01
    3.986337e-01    4.393297e+01
    4.028517e-01    4.651587e+01
    4.071094e-01    4.938163e+01
    4.114070e-01    5.257418e+01
    4.157449e-01    5.614637e+01
    4.201440e-01    6.018239e+01
    4.245844e-01    6.474632e+01
    4.275585e-01    6.811909e+01
    4.305745e-01    7.183318e+01
    4.335906e-01    7.587860e+01
    4.366491e-01    8.036187e+01
    4.397077e-01    8.527846e+01
    4.428095e-01    9.076701e+01
    4.459112e-01    9.683318e+01
    4.490567e-01    1.036621e+02
    4.522022e-01    1.112785e+02
    4.545946e-01    1.176763e+02
    4.569870e-01    1.246691e+02
    4.593907e-01    1.323720e+02
    4.618169e-01    1.409283e+02
    4.642430e-01    1.503799e+02
    4.666920e-01    1.609619e+02
    4.691524e-01    1.728086e+02
    4.716128e-01    1.860687e+02
    4.732762e-01    1.959518e+02
    4.749396e-01    2.066737e+02
    4.766030e-01    2.183325e+02
    4.782664e-01    2.310408e+02
    4.799533e-01    2.451330e+02
    4.816401e-01    2.605935e+02
    4.833270e-01    2.776023e+02
    4.850139e-01    2.963681e+02
    4.867245e-01    3.174406e+02
    4.884352e-01    3.408593e+02
    4.897182e-01    3.601635e+02
    4.910012e-01    3.811358e+02
    4.922903e-01    4.040652e+02
    4.935914e-01    4.292995e+02
    4.948925e-01    4.568560e+02
    4.961936e-01    4.869767e+02
    4.974947e-01    5.199228e+02
    4.987958e-01    5.559720e+02
    5.000746e-01    5.947124e+02
    5.013535e-01    6.370187e+02
    5.026324e-01    6.831798e+02
    5.039113e-01    7.334801e+02
    5.051902e-01    7.881902e+02
    5.063170e-01    8.402450e+02
    5.077181e-01    9.102213e+02
    5.091191e-01    9.862077e+02
    5.105202e-01    1.068307e+03
    5.119212e-01    1.156490e+03
    5.133223e-01    1.250574e+03
    5.154238e-01    1.401891e+03
    5.175254e-01    1.563450e+03
    5.238301e-01    2.070621e+03
    5.259317e-01    2.228904e+03
    5.280333e-01    2.370935e+03
    5.294319e-01    2.453161e+03
    5.308305e-01    2.523422e+03
    5.322292e-01    2.580115e+03
    5.336278e-01    2.621913e+03
    5.351330e-01    2.649126e+03
    5.366381e-01    2.657200e+03
    5.382460e-01    2.644466e+03
    5.393129e-01    2.624031e+03
    5.409063e-01    2.576454e+03
    5.424997e-01    2.509834e+03
    5.440931e-01    2.426217e+03
    5.456865e-01    2.328064e+03
    5.472277e-01    2.221881e+03
    5.495394e-01    2.047626e+03
    5.560543e-01    1.526850e+03
    5.581559e-01    1.367802e+03
    5.595569e-01    1.267403e+03
    5.609580e-01    1.172249e+03
    5.623590e-01    1.082746e+03
    5.637601e-01    9.991227e+02
    5.651611e-01    9.214521e+02
    5.665622e-01    8.496799e+02
    5.679632e-01    7.836482e+02
    5.693643e-01    7.231206e+02
    5.707653e-01    6.678038e+02
    5.721664e-01    6.173676e+02
    5.735674e-01    5.714610e+02
    5.747743e-01    5.352738e+02
    5.762934e-01    4.937753e+02
    5.778125e-01    4.563826e+02
    5.793316e-01    4.226800e+02
    5.808507e-01    3.922806e+02
    5.823698e-01    3.648293e+02
    5.839104e-01    3.396712e+02
    5.854509e-01    3.169118e+02
    5.869914e-01    2.962820e+02
    5.885320e-01    2.775430e+02
    5.900725e-01    2.604842e+02
    5.916275e-01    2.447802e+02
    5.931898e-01    2.303678e+02
    5.947521e-01    2.171745e+02
    5.963143e-01    2.050700e+02
    5.978766e-01    1.939399e+02
    5.999743e-01    1.803535e+02
    6.020867e-01    1.680540e+02
    6.041991e-01    1.569616e+02
    6.063116e-01    1.469242e+02
    6.084389e-01    1.377512e+02
    6.105811e-01    1.293486e+02
    6.127233e-01    1.216857e+02
    6.148655e-01    1.146781e+02
    6.170229e-01    1.082098e+02
    6.191953e-01    1.022284e+02
    6.213677e-01    9.672431e+01
    6.235402e-01    9.164813e+01
    6.257279e-01    8.692479e+01
    6.290326e-01    8.044538e+01
    6.323372e-01    7.465525e+01
    6.356729e-01    6.941385e+01
    6.390242e-01    6.467706e+01
    6.423754e-01    6.040193e+01
    6.457740e-01    5.647848e+01
    6.491725e-01    5.291893e+01
    6.525870e-01    4.966515e+01
    6.560335e-01    4.667038e+01
    6.594800e-01    4.393325e+01
    6.629589e-01    4.140257e+01
    6.664540e-01    3.906945e+01
    6.699491e-01    3.692389e+01
    6.734935e-01    3.491967e+01
    6.770379e-01    3.307067e+01
    6.817971e-01    3.080520e+01
    6.865897e-01    2.874593e+01
    6.914161e-01    2.686919e+01
    6.962763e-01    2.515473e+01
    7.011707e-01    2.358483e+01
