# a + 174Yb   : (a,p)             Total
# Q-value    =-9.42468E+00
# E-threshold= 9.64155E+00
# # energies =    47
#     E          xs       gamma xs  xs/res.prod.xs
 2.50000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 8.26040E-14 0.00000E+00 0.00000E+00
 1.30000E+01 1.81620E-11 1.17774E-11 9.99791E-01
 1.40000E+01 5.64639E-10 1.13495E-09 1.00000E+00
 1.50000E+01 2.18935E-07 4.31142E-07 9.99983E-01
 1.60000E+01 9.34218E-06 1.98081E-05 9.99955E-01
 1.70000E+01 1.28353E-04 3.06697E-04 9.99960E-01
 1.80000E+01 9.77544E-04 2.55864E-03 9.99968E-01
 1.90000E+01 5.24596E-03 1.48452E-02 9.99979E-01
 2.00000E+01 2.08286E-02 6.30795E-02 9.99987E-01
 2.20000E+01 1.51365E-01 5.18948E-01 9.99994E-01
 2.40000E+01 5.68455E-01 2.15113E+00 9.99996E-01
 2.60000E+01 1.34104E+00 5.42933E+00 9.99997E-01
 2.80000E+01 2.20192E+00 9.32874E+00 9.99997E-01
 3.00000E+01 2.89385E+00 1.26784E+01 9.99998E-01
 3.50000E+01 3.47350E+00 1.58905E+01 9.99998E-01
 4.00000E+01 3.16371E+00 1.47197E+01 1.00000E+00
 4.50000E+01 2.55018E+00 1.18741E+01 1.00000E+00
 5.00000E+01 1.98712E+00 9.24062E+00 1.00000E+00
 5.50000E+01 1.57473E+00 7.20756E+00 1.00000E+00
 6.00000E+01 1.23186E+00 5.65833E+00 1.00000E+00
 6.50000E+01 9.49386E-01 4.31779E+00 1.00000E+00
 7.00000E+01 7.15392E-01 3.24928E+00 1.00000E+00
 7.50000E+01 5.80778E-01 2.61905E+00 1.00000E+00
 8.00000E+01 4.46864E-01 2.02076E+00 1.00000E+00
 9.00000E+01 2.79711E-01 1.23664E+00 1.00000E+00
 1.00000E+02 1.77532E-01 7.53540E-01 1.00000E+00
 1.10000E+02 1.03523E-01 4.26556E-01 1.00000E+00
 1.20000E+02 6.71102E-02 2.67648E-01 1.00000E+00
 1.30000E+02 4.75021E-02 1.87063E-01 1.00000E+00
 1.40000E+02 3.77742E-02 1.46780E-01 1.00000E+00
 1.50000E+02 2.02619E-02 7.43378E-02 1.00000E+00
 1.60000E+02 1.75496E-02 6.45261E-02 1.00000E+00
 1.80000E+02 6.83047E-03 2.27618E-02 1.00000E+00
 2.00000E+02 5.10059E-03 1.70966E-02 1.00000E+00
