#  e-lower      e-upper      photon      r.err 
   0.0000E+00   1.0000E+00   4.7244E+08  0.0044
   1.0000E+00   2.0000E+00   2.6230E+08  0.0052
   2.0000E+00   3.0000E+00   1.5193E+08  0.0068
   3.0000E+00   4.0000E+00   1.0405E+08  0.0081
   4.0000E+00   5.0000E+00   7.6256E+07  0.0094
   5.0000E+00   6.0000E+00   6.0699E+07  0.0105
   6.0000E+00   7.0000E+00   4.8696E+07  0.0117
   7.0000E+00   8.0000E+00   4.0960E+07  0.0127
   8.0000E+00   9.0000E+00   3.4925E+07  0.0138
   9.0000E+00   1.0000E+01   2.9487E+07  0.0150
   1.0000E+01   1.1000E+01   2.6374E+07  0.0158
   1.1000E+01   1.2000E+01   2.3602E+07  0.0167
   1.2000E+01   1.3000E+01   2.0132E+07  0.0181
   1.3000E+01   1.4000E+01   1.8644E+07  0.0188
   1.4000E+01   1.5000E+01   1.6273E+07  0.0201
   1.5000E+01   1.6000E+01   1.4793E+07  0.0211
   1.6000E+01   1.7000E+01   1.3865E+07  0.0218
   1.7000E+01   1.8000E+01   1.2034E+07  0.0234
   1.8000E+01   1.9000E+01   1.0935E+07  0.0245
   1.9000E+01   2.0000E+01   9.9913E+06  0.0256
   2.0000E+01   2.1000E+01   9.9503E+06  0.0257
   2.1000E+01   2.2000E+01   8.7586E+06  0.0274
   2.2000E+01   2.3000E+01   7.6848E+06  0.0292
   2.3000E+01   2.4000E+01   7.6099E+06  0.0293
   2.4000E+01   2.5000E+01   7.1447E+06  0.0303
   2.5000E+01   2.6000E+01   6.1054E+06  0.0328
   2.6000E+01   2.7000E+01   6.3971E+06  0.0320
   2.7000E+01   2.8000E+01   5.3257E+06  0.0351
   2.8000E+01   2.9000E+01   5.2854E+06  0.0352
   2.9000E+01   3.0000E+01   4.9993E+06  0.0362
   3.0000E+01   3.1000E+01   4.5016E+06  0.0381
   3.1000E+01   3.2000E+01   3.9741E+06  0.0406
   3.2000E+01   3.3000E+01   3.9307E+06  0.0408
   3.3000E+01   3.4000E+01   3.5251E+06  0.0431
   3.4000E+01   3.5000E+01   3.0358E+06  0.0464
   3.5000E+01   3.6000E+01   3.1380E+06  0.0456
   3.6000E+01   3.7000E+01   2.4598E+06  0.0516
   3.7000E+01   3.8000E+01   2.3519E+06  0.0527
   3.8000E+01   3.9000E+01   2.3487E+06  0.0527
   3.9000E+01   4.0000E+01   2.1802E+06  0.0547
   4.0000E+01   4.1000E+01   1.7625E+06  0.0609
   4.1000E+01   4.2000E+01   1.6424E+06  0.0630
   4.2000E+01   4.3000E+01   1.4874E+06  0.0662
   4.3000E+01   4.4000E+01   1.2179E+06  0.0731
   4.4000E+01   4.5000E+01   1.0220E+06  0.0798
   4.5000E+01   4.6000E+01   8.0756E+05  0.0898
   4.6000E+01   4.7000E+01   6.1795E+05  0.1026
   4.7000E+01   4.8000E+01   4.6131E+05  0.1187
   4.8000E+01   4.9000E+01   1.3609E+05  0.2182
   4.9000E+01   5.0000E+01   3.8862E+04  0.4082
