#  a-lower      a-upper      photon      r.err 
   0.0000E+00   5.0000E+00   4.3042E+08  0.0014
   5.0000E+00   1.0000E+01   5.8620E+08  0.0013
   1.0000E+01   1.5000E+01   5.2880E+08  0.0013
   1.5000E+01   2.0000E+01   4.4979E+08  0.0015
   2.0000E+01   2.5000E+01   3.7250E+08  0.0016
   2.5000E+01   3.0000E+01   3.0701E+08  0.0018
   3.0000E+01   3.5000E+01   2.5532E+08  0.0019
   3.5000E+01   4.0000E+01   2.1393E+08  0.0021
   4.0000E+01   4.5000E+01   1.8092E+08  0.0023
   4.5000E+01   5.0000E+01   1.5551E+08  0.0025
   5.0000E+01   5.5000E+01   1.3421E+08  0.0026
   5.5000E+01   6.0000E+01   1.1628E+08  0.0028
   6.0000E+01   6.5000E+01   9.9260E+07  0.0030
   6.5000E+01   7.0000E+01   8.3737E+07  0.0033
   7.0000E+01   7.5000E+01   6.8225E+07  0.0036
   7.5000E+01   8.0000E+01   5.1565E+07  0.0041
   8.0000E+01   8.5000E+01   3.3010E+07  0.0051
   8.5000E+01   9.0000E+01   1.0927E+07  0.0086
