#  e-lower      e-upper      photon      r.err 
   0.0000E+00   1.0000E+00   2.4174E+08  0.0024
   1.0000E+00   2.0000E+00   1.3542E+08  0.0027
   2.0000E+00   3.0000E+00   7.5639E+07  0.0036
   3.0000E+00   4.0000E+00   5.1026E+07  0.0043
   4.0000E+00   5.0000E+00   3.6562E+07  0.0051
   5.0000E+00   6.0000E+00   2.7922E+07  0.0058
   6.0000E+00   7.0000E+00   2.2191E+07  0.0065
   7.0000E+00   8.0000E+00   1.7960E+07  0.0073
   8.0000E+00   9.0000E+00   1.4952E+07  0.0080
   9.0000E+00   1.0000E+01   1.2784E+07  0.0086
   1.0000E+01   1.1000E+01   1.0511E+07  0.0095
   1.1000E+01   1.2000E+01   9.2633E+06  0.0101
   1.2000E+01   1.3000E+01   7.8515E+06  0.0110
   1.3000E+01   1.4000E+01   6.9692E+06  0.0116
   1.4000E+01   1.5000E+01   6.1669E+06  0.0123
   1.5000E+01   1.6000E+01   5.3682E+06  0.0132
   1.6000E+01   1.7000E+01   4.6821E+06  0.0142
   1.7000E+01   1.8000E+01   4.1690E+06  0.0150
   1.8000E+01   1.9000E+01   3.6407E+06  0.0161
   1.9000E+01   2.0000E+01   3.2041E+06  0.0171
   2.0000E+01   2.1000E+01   2.8208E+06  0.0182
   2.1000E+01   2.2000E+01   2.4808E+06  0.0194
   2.2000E+01   2.3000E+01   2.0838E+06  0.0212
   2.3000E+01   2.4000E+01   1.7860E+06  0.0229
   2.4000E+01   2.5000E+01   1.4284E+06  0.0256
   2.5000E+01   2.6000E+01   1.1627E+06  0.0283
   2.6000E+01   2.7000E+01   9.0101E+05  0.0322
   2.7000E+01   2.8000E+01   5.4132E+05  0.0415
   2.8000E+01   2.9000E+01   2.6488E+05  0.0592
   2.9000E+01   3.0000E+01   4.4465E+04  0.1443
   3.0000E+01   3.1000E+01   0.0000E+00  0.0000
   3.1000E+01   3.2000E+01   0.0000E+00  0.0000
   3.2000E+01   3.3000E+01   0.0000E+00  0.0000
   3.3000E+01   3.4000E+01   0.0000E+00  0.0000
   3.4000E+01   3.5000E+01   0.0000E+00  0.0000
   3.5000E+01   3.6000E+01   0.0000E+00  0.0000
   3.6000E+01   3.7000E+01   0.0000E+00  0.0000
   3.7000E+01   3.8000E+01   0.0000E+00  0.0000
   3.8000E+01   3.9000E+01   0.0000E+00  0.0000
   3.9000E+01   4.0000E+01   0.0000E+00  0.0000
   4.0000E+01   4.1000E+01   0.0000E+00  0.0000
   4.1000E+01   4.2000E+01   0.0000E+00  0.0000
   4.2000E+01   4.3000E+01   0.0000E+00  0.0000
   4.3000E+01   4.4000E+01   0.0000E+00  0.0000
   4.4000E+01   4.5000E+01   0.0000E+00  0.0000
   4.5000E+01   4.6000E+01   0.0000E+00  0.0000
   4.6000E+01   4.7000E+01   0.0000E+00  0.0000
   4.7000E+01   4.8000E+01   0.0000E+00  0.0000
   4.8000E+01   4.9000E+01   0.0000E+00  0.0000
   4.9000E+01   5.0000E+01   0.0000E+00  0.0000
   5.0000E+01   5.1000E+01   0.0000E+00  0.0000
   5.1000E+01   5.2000E+01   0.0000E+00  0.0000
   5.2000E+01   5.3000E+01   0.0000E+00  0.0000
   5.3000E+01   5.4000E+01   0.0000E+00  0.0000
   5.4000E+01   5.5000E+01   0.0000E+00  0.0000
   5.5000E+01   5.6000E+01   0.0000E+00  0.0000
   5.6000E+01   5.7000E+01   0.0000E+00  0.0000
   5.7000E+01   5.8000E+01   0.0000E+00  0.0000
   5.8000E+01   5.9000E+01   0.0000E+00  0.0000
   5.9000E+01   6.0000E+01   0.0000E+00  0.0000
